Source,Target,Type,Weight
19,122,Directed,3
38,9,Directed,2
74,23,Directed,2
30,39,Directed,2
133,13,Directed,2
26,50,Directed,5
25,63,Directed,1
25,61,Directed,1
25,67,Directed,1
38,4,Directed,1
62,25,Directed,3
112,139,Directed,1
167,9,Directed,1
54,46,Directed,2
54,41,Directed,1
56,20,Directed,1
56,23,Directed,1
10,39,Directed,1
13,2,Directed,2
26,54,Directed,1
16,51,Directed,1
36,9,Directed,2
33,137,Directed,1
9,138,Directed,1
12,29,Directed,2
36,61,Directed,4
12,25,Directed,5
38,28,Directed,1
12,27,Directed,1
12,26,Directed,1
74,54,Directed,1
37,61,Directed,2
37,62,Directed,1
2,3,Directed,75
5,13,Directed,4
2,1,Directed,4
5,15,Directed,10
2,7,Directed,5
2,4,Directed,497
37,36,Directed,10
5,19,Directed,7
39,33,Directed,1
2,9,Directed,10
88,13,Directed,1
46,127,Directed,2
13,3,Directed,1
37,64,Directed,1
13,1,Directed,13
4,68,Directed,1
13,7,Directed,5
13,6,Directed,3
13,5,Directed,3
13,4,Directed,1
14,16,Directed,2
14,17,Directed,1
13,9,Directed,8
14,15,Directed,4
14,12,Directed,1
14,13,Directed,8
14,11,Directed,1
90,158,Directed,1
19,38,Directed,1
33,19,Directed,1
1,29,Directed,1
1,24,Directed,8
1,25,Directed,26
1,26,Directed,3
1,27,Directed,1
1,20,Directed,16
33,10,Directed,1
33,13,Directed,3
1,23,Directed,65
66,13,Directed,1
10,9,Directed,36
17,5,Directed,4
66,17,Directed,1
36,69,Directed,1
66,15,Directed,2
10,1,Directed,11
10,2,Directed,10
28,16,Directed,1
1,18,Directed,1
10,5,Directed,1
17,9,Directed,11
10,7,Directed,2
10,12,Directed,51
10,13,Directed,2
12,58,Directed,2
10,11,Directed,185
24,37,Directed,1
10,17,Directed,18
29,25,Directed,3
10,15,Directed,13
12,18,Directed,4
24,39,Directed,1
29,28,Directed,5
90,123,Directed,3
19,26,Directed,4
45,58,Directed,5
57,46,Directed,1
26,29,Directed,1
2,138,Directed,1
31,25,Directed,1
116,23,Directed,1
31,29,Directed,1
38,39,Directed,1
5,14,Directed,1
28,37,Directed,2
28,36,Directed,6
4,19,Directed,123
28,33,Directed,1
5,17,Directed,3
60,2,Directed,1
13,109,Directed,1
146,26,Directed,1
45,17,Directed,6
27,88,Directed,1
13,17,Directed,43
13,15,Directed,3
13,14,Directed,15
13,12,Directed,2
13,11,Directed,2
13,10,Directed,2
4,33,Directed,3
26,13,Directed,1
10,130,Directed,1
14,7,Directed,6
14,1,Directed,7
14,2,Directed,5
18,13,Directed,11
9,50,Directed,1
9,58,Directed,1
2,13,Directed,1
49,41,Directed,1
141,38,Directed,1
3,50,Directed,2
47,24,Directed,1
17,54,Directed,1
26,24,Directed,1
10,120,Directed,1
49,18,Directed,2
52,28,Directed,1
21,20,Directed,11
17,135,Directed,1
18,10,Directed,1
21,25,Directed,1
56,4,Directed,5
5,4,Directed,1
5,7,Directed,55
5,6,Directed,18
5,1,Directed,2
12,49,Directed,1
40,28,Directed,6
40,29,Directed,1
40,26,Directed,1
40,24,Directed,4
40,25,Directed,2
5,9,Directed,5
26,146,Directed,1
133,19,Directed,1
29,132,Directed,2
20,39,Directed,4
23,20,Directed,3
20,37,Directed,2
20,36,Directed,4
62,28,Directed,1
20,33,Directed,4
20,30,Directed,1
50,15,Directed,4
36,38,Directed,2
23,16,Directed,1
33,23,Directed,4
25,26,Directed,1
36,37,Directed,49
25,23,Directed,8
25,21,Directed,1
25,20,Directed,8
9,24,Directed,2
9,25,Directed,4
61,10,Directed,1
9,27,Directed,1
9,20,Directed,23
61,17,Directed,1
9,23,Directed,4
44,15,Directed,1
17,29,Directed,1
9,28,Directed,3
9,29,Directed,5
30,49,Directed,4
86,50,Directed,3
37,20,Directed,6
88,1,Directed,4
49,61,Directed,1
23,46,Directed,4
37,26,Directed,1
81,38,Directed,1
37,28,Directed,25
37,29,Directed,1
14,46,Directed,1
21,5,Directed,2
11,117,Directed,1
40,93,Directed,1
15,46,Directed,4
121,46,Directed,1
41,12,Directed,1
25,144,Directed,1
163,121,Directed,1
5,149,Directed,1
19,9,Directed,13
23,7,Directed,3
7,19,Directed,9
7,17,Directed,10
7,16,Directed,3
7,15,Directed,53
7,14,Directed,2
7,13,Directed,22
7,12,Directed,8
7,11,Directed,11
19,2,Directed,4
41,18,Directed,3
1,61,Directed,3
11,7,Directed,5
48,25,Directed,1
68,9,Directed,1
33,54,Directed,2
20,47,Directed,1
12,9,Directed,24
1,28,Directed,7
12,4,Directed,2
41,13,Directed,2
12,2,Directed,11
58,13,Directed,2
12,1,Directed,13
20,133,Directed,12
66,55,Directed,1
122,50,Directed,1
20,103,Directed,1
18,50,Directed,1
33,25,Directed,3
33,26,Directed,1
18,58,Directed,1
56,2,Directed,1
117,17,Directed,1
33,15,Directed,20
16,1,Directed,5
16,7,Directed,1
74,67,Directed,1
33,14,Directed,1
24,36,Directed,4
86,5,Directed,1
16,9,Directed,24
20,136,Directed,2
104,62,Directed,1
23,5,Directed,1
19,30,Directed,1
126,7,Directed,1
13,49,Directed,3
99,100,Directed,1
14,4,Directed,3
13,45,Directed,2
13,46,Directed,6
1,12,Directed,2
13,41,Directed,2
13,42,Directed,1
19,36,Directed,2
4,12,Directed,1
4,13,Directed,1
4,10,Directed,4
4,11,Directed,4
4,17,Directed,6
4,14,Directed,1
4,15,Directed,22
5,20,Directed,46
5,21,Directed,2
76,25,Directed,1
5,23,Directed,4
5,24,Directed,2
5,25,Directed,3
5,26,Directed,1
125,17,Directed,1
15,9,Directed,30
17,7,Directed,2
18,54,Directed,1
29,13,Directed,2
20,38,Directed,1
15,1,Directed,34
16,33,Directed,1
15,3,Directed,1
15,2,Directed,18
15,5,Directed,9
16,37,Directed,1
15,7,Directed,26
15,6,Directed,3
8,20,Directed,2
18,1,Directed,42
18,2,Directed,41
20,12,Directed,3
18,4,Directed,2
1,44,Directed,1
18,7,Directed,6
18,9,Directed,42
64,2,Directed,1
64,5,Directed,1
14,115,Directed,1
7,45,Directed,1
133,9,Directed,3
1,151,Directed,1
17,1,Directed,6
14,74,Directed,5
31,1,Directed,2
152,1,Directed,1
31,7,Directed,3
80,106,Directed,1
135,29,Directed,1
3,26,Directed,37
39,7,Directed,1
46,44,Directed,1
4,89,Directed,1
39,9,Directed,9
15,135,Directed,1
39,96,Directed,1
122,9,Directed,1
47,48,Directed,1
24,77,Directed,1
24,76,Directed,1
98,99,Directed,1
19,90,Directed,1
16,132,Directed,1
80,16,Directed,1
28,61,Directed,1
26,39,Directed,1
75,17,Directed,1
18,83,Directed,1
18,85,Directed,1
32,25,Directed,5
83,9,Directed,1
26,33,Directed,1
26,32,Directed,6
40,39,Directed,1
26,36,Directed,6
19,33,Directed,2
41,9,Directed,2
17,28,Directed,1
26,86,Directed,1
17,146,Directed,1
33,76,Directed,1
9,62,Directed,2
41,83,Directed,1
12,143,Directed,1
9,66,Directed,1
30,84,Directed,1
41,30,Directed,1
69,6,Directed,1
25,104,Directed,2
33,73,Directed,1
29,24,Directed,1
20,64,Directed,1
20,65,Directed,4
3,11,Directed,1
28,56,Directed,1
20,61,Directed,1
3,15,Directed,1
30,2,Directed,2
6,1,Directed,3
46,16,Directed,1
20,3,Directed,1
2,44,Directed,1
25,74,Directed,1
62,16,Directed,1
11,31,Directed,4
10,19,Directed,3
62,13,Directed,1
11,36,Directed,3
17,2,Directed,14
11,39,Directed,7
1,147,Directed,1
62,19,Directed,1
41,7,Directed,2
44,46,Directed,1
154,25,Directed,1
36,19,Directed,1
11,152,Directed,1
122,90,Directed,3
46,20,Directed,1
4,1,Directed,13
7,9,Directed,54
18,19,Directed,6
30,18,Directed,4
4,5,Directed,7
4,6,Directed,4
4,7,Directed,28
7,3,Directed,2
7,2,Directed,35
7,1,Directed,22
18,11,Directed,12
18,16,Directed,1
7,6,Directed,22
18,14,Directed,5
18,15,Directed,23
37,19,Directed,1
90,47,Directed,1
51,70,Directed,2
143,15,Directed,1
12,39,Directed,4
12,36,Directed,4
12,37,Directed,2
36,105,Directed,1
84,36,Directed,1
37,15,Directed,1
37,14,Directed,1
14,9,Directed,10
30,15,Directed,1
11,1,Directed,11
7,40,Directed,1
4,55,Directed,1
23,6,Directed,1
4,50,Directed,1
4,51,Directed,3
19,37,Directed,1
39,20,Directed,4
39,24,Directed,1
18,129,Directed,1
19,24,Directed,3
19,25,Directed,20
14,29,Directed,1
14,28,Directed,4
19,20,Directed,86
19,21,Directed,3
19,23,Directed,9
14,23,Directed,1
14,22,Directed,1
142,7,Directed,2
14,20,Directed,5
14,27,Directed,1
88,20,Directed,1
14,25,Directed,7
6,122,Directed,1
129,23,Directed,1
1,39,Directed,1
1,38,Directed,1
25,81,Directed,1
1,36,Directed,8
121,64,Directed,1
1,33,Directed,6
39,167,Directed,1
13,91,Directed,1
25,86,Directed,3
7,50,Directed,32
15,39,Directed,3
15,38,Directed,1
15,37,Directed,1
15,36,Directed,8
15,35,Directed,7
7,58,Directed,2
15,33,Directed,3
37,25,Directed,2
14,58,Directed,1
40,37,Directed,1
1,9,Directed,17
29,38,Directed,1
29,39,Directed,4
10,28,Directed,4
10,27,Directed,2
24,25,Directed,6
24,26,Directed,2
1,2,Directed,26
1,5,Directed,9
1,4,Directed,3
1,7,Directed,15
33,2,Directed,31
36,5,Directed,1
12,5,Directed,2
7,90,Directed,1
36,1,Directed,2
24,50,Directed,1
40,38,Directed,1
38,7,Directed,1
11,2,Directed,4
31,13,Directed,1
31,12,Directed,3
31,11,Directed,1
82,2,Directed,1
28,20,Directed,3
12,134,Directed,1
16,41,Directed,1
28,23,Directed,4
28,24,Directed,1
28,25,Directed,4
59,111,Directed,1
28,29,Directed,3
76,10,Directed,1
127,28,Directed,1
1,83,Directed,1
164,62,Directed,1
1,81,Directed,2
30,11,Directed,1
32,34,Directed,2
1,88,Directed,4
7,46,Directed,3
122,14,Directed,1
71,160,Directed,1
9,31,Directed,4
44,144,Directed,1
16,36,Directed,6
20,54,Directed,3
20,57,Directed,1
76,15,Directed,3
50,33,Directed,2
39,11,Directed,1
17,41,Directed,1
52,36,Directed,1
10,14,Directed,1
132,39,Directed,1
85,2,Directed,1
17,49,Directed,1
103,6,Directed,2
103,7,Directed,1
109,36,Directed,1
64,44,Directed,1
81,36,Directed,2
6,38,Directed,1
46,33,Directed,1
40,17,Directed,2
65,13,Directed,5
40,15,Directed,2
40,14,Directed,1
20,28,Directed,1
20,29,Directed,4
32,2,Directed,17
32,3,Directed,17
32,4,Directed,8
86,25,Directed,4
28,53,Directed,1
26,30,Directed,1
20,21,Directed,79
10,25,Directed,2
20,23,Directed,11
20,24,Directed,1
20,25,Directed,9
20,26,Directed,5
30,9,Directed,1
50,23,Directed,4
122,148,Directed,1
50,27,Directed,1
33,118,Directed,1
3,56,Directed,1
50,24,Directed,4
25,30,Directed,1
13,26,Directed,3
50,29,Directed,2
25,33,Directed,5
17,10,Directed,8
25,36,Directed,5
9,36,Directed,1
17,36,Directed,2
9,33,Directed,2
32,36,Directed,1
9,30,Directed,1
32,38,Directed,1
1,31,Directed,1
121,20,Directed,1
27,37,Directed,2
62,95,Directed,1
9,39,Directed,4
17,30,Directed,2
1,69,Directed,1
16,10,Directed,3
38,17,Directed,3
38,11,Directed,1
17,32,Directed,1
23,54,Directed,1
23,56,Directed,5
23,50,Directed,3
24,7,Directed,4
9,166,Directed,1
2,32,Directed,18
2,33,Directed,3
2,30,Directed,1
29,7,Directed,1
54,136,Directed,1
33,88,Directed,1
2,34,Directed,25
90,24,Directed,1
16,14,Directed,1
54,52,Directed,1
13,18,Directed,1
25,136,Directed,1
16,15,Directed,9
95,46,Directed,1
7,28,Directed,3
7,29,Directed,3
15,122,Directed,1
29,46,Directed,1
7,23,Directed,9
7,20,Directed,113
16,17,Directed,34
7,26,Directed,3
14,62,Directed,1
7,24,Directed,7
54,17,Directed,1
103,20,Directed,3
14,37,Directed,1
33,46,Directed,1
121,10,Directed,1
1,74,Directed,1
4,45,Directed,1
45,18,Directed,1
62,40,Directed,1
27,4,Directed,3
7,146,Directed,1
58,24,Directed,2
30,25,Directed,1
30,24,Directed,1
17,25,Directed,1
30,20,Directed,2
24,9,Directed,6
54,19,Directed,1
4,49,Directed,1
11,75,Directed,1
58,9,Directed,1
144,9,Directed,1
9,49,Directed,1
51,9,Directed,2
96,64,Directed,1
74,79,Directed,1
6,33,Directed,1
61,29,Directed,1
37,1,Directed,3
39,52,Directed,1
37,2,Directed,2
38,15,Directed,1
34,2,Directed,8
13,30,Directed,16
13,33,Directed,1
34,1,Directed,1
13,37,Directed,1
13,36,Directed,1
5,39,Directed,1
12,20,Directed,5
22,17,Directed,1
162,1,Directed,1
132,161,Directed,1
5,36,Directed,6
83,30,Directed,1
143,2,Directed,1
2,39,Directed,2
22,23,Directed,1
22,20,Directed,2
19,15,Directed,6
19,14,Directed,1
19,17,Directed,12
7,136,Directed,2
54,28,Directed,1
19,10,Directed,1
19,13,Directed,2
27,40,Directed,1
15,67,Directed,1
35,13,Directed,1
15,62,Directed,3
27,7,Directed,5
106,16,Directed,1
51,25,Directed,1
24,15,Directed,5
156,157,Directed,1
24,11,Directed,1
24,10,Directed,3
24,13,Directed,3
24,12,Directed,1
23,85,Directed,1
24,19,Directed,1
1,131,Directed,1
15,74,Directed,2
39,58,Directed,1
40,58,Directed,3
46,77,Directed,1
9,38,Directed,1
40,54,Directed,2
20,88,Directed,1
27,122,Directed,1
40,50,Directed,1
15,11,Directed,7
41,39,Directed,1
14,81,Directed,1
45,30,Directed,1
15,10,Directed,10
21,27,Directed,1
31,2,Directed,1
7,37,Directed,1
28,19,Directed,3
23,1,Directed,11
24,64,Directed,1
19,83,Directed,1
29,76,Directed,1
143,1,Directed,1
28,11,Directed,3
28,10,Directed,2
28,13,Directed,5
28,15,Directed,6
28,14,Directed,3
28,17,Directed,4
7,30,Directed,1
24,2,Directed,15
18,90,Directed,1
7,21,Directed,8
15,17,Directed,59
133,1,Directed,2
26,23,Directed,10
26,20,Directed,2
133,2,Directed,1
26,27,Directed,1
133,7,Directed,2
7,27,Directed,2
50,4,Directed,6
26,145,Directed,1
23,12,Directed,1
23,13,Directed,1
23,14,Directed,1
23,15,Directed,23
50,2,Directed,39
23,17,Directed,2
23,19,Directed,4
20,80,Directed,1
7,25,Directed,3
50,9,Directed,4
113,114,Directed,2
23,10,Directed,4
2,77,Directed,1
6,61,Directed,1
55,25,Directed,1
7,39,Directed,4
49,30,Directed,1
5,2,Directed,7
38,54,Directed,1
49,37,Directed,1
25,11,Directed,2
17,76,Directed,2
20,11,Directed,4
20,10,Directed,8
20,13,Directed,34
115,116,Directed,1
20,15,Directed,37
20,14,Directed,6
20,17,Directed,10
33,32,Directed,1
20,19,Directed,21
55,165,Directed,1
153,154,Directed,1
3,23,Directed,5
23,11,Directed,2
36,17,Directed,1
36,14,Directed,5
36,15,Directed,3
11,28,Directed,2
36,13,Directed,4
11,25,Directed,4
11,26,Directed,1
81,119,Directed,2
11,20,Directed,4
25,76,Directed,3
11,23,Directed,2
18,27,Directed,2
18,26,Directed,2
18,25,Directed,2
18,23,Directed,3
40,20,Directed,3
18,20,Directed,13
25,70,Directed,1
30,13,Directed,3
166,101,Directed,1
18,29,Directed,7
18,28,Directed,5
1,3,Directed,1
23,67,Directed,1
25,46,Directed,3
21,92,Directed,9
62,11,Directed,1
30,61,Directed,1
151,164,Directed,1
67,33,Directed,1
74,50,Directed,1
54,2,Directed,2
50,64,Directed,1
92,21,Directed,1
56,3,Directed,1
56,1,Directed,1
38,25,Directed,1
38,27,Directed,2
148,25,Directed,1
38,20,Directed,5
38,23,Directed,6
101,62,Directed,1
112,5,Directed,1
1,62,Directed,2
92,8,Directed,2
70,2,Directed,1
18,62,Directed,1
1,40,Directed,1
15,57,Directed,3
15,56,Directed,1
140,5,Directed,1
14,39,Directed,3
115,7,Directed,1
20,124,Directed,1
62,74,Directed,6
20,126,Directed,1
23,76,Directed,1
14,5,Directed,1
5,44,Directed,1
34,77,Directed,1
1,145,Directed,1
9,132,Directed,1
77,23,Directed,1
33,39,Directed,1
55,19,Directed,1
3,9,Directed,1
55,15,Directed,2
55,14,Directed,1
3,4,Directed,27
35,17,Directed,3
3,2,Directed,58
62,36,Directed,2
36,26,Directed,1
15,28,Directed,14
15,29,Directed,4
59,60,Directed,2
37,17,Directed,2
129,62,Directed,1
15,20,Directed,19
15,21,Directed,1
15,23,Directed,2
15,24,Directed,25
15,25,Directed,11
76,29,Directed,1
7,61,Directed,1
